time_s,stroke_mm,flow_L_min,pressure_bar
3.7,23.0,3.4047010383279392,133.11
3.75,22.5,3.4047010383279392,134.94
3.8,22.0,3.4047010383279392,136.78
3.85,21.5,3.4047010383279392,138.61
3.9,21.0,3.4047010383279392,140.44
3.95,20.5,3.4047010383279392,142.28
4.0,20.0,3.4047010383279392,144.11
4.05,19.5,3.4047010383279392,145.95
4.1,19.0,3.4047010383279392,147.78
4.15,18.5,3.4047010383279392,149.61
4.2,18.0,3.4047010383279392,151.45
4.25,17.5,3.4047010383279392,153.28
4.3,17.0,3.4047010383279392,155.11
4.35,16.5,3.4047010383279392,156.95
4.4,16.0,3.4047010383279392,158.78
4.45,15.5,3.4047010383279392,160.61
4.5,15.0,3.4047010383279392,162.45
4.55,14.5,3.4047010383279392,164.28
4.6,14.0,3.4047010383279392,166.11
4.65,13.5,3.4047010383279392,167.95
4.7,13.0,3.4047010383279392,169.78
4.75,12.5,3.4047010383279392,171.62
4.8,12.0,3.4047010383279392,173.45
4.85,11.5,3.4047010383279392,175.28
4.9,11.0,3.4047010383279392,177.12
4.95,10.5,3.4047010383279392,178.95
5.0,10.0,3.4047010383279392,180.78
5.05,9.5,3.4047010383279392,182.62
5.1,9.0,3.4047010383279392,184.45
5.15,8.5,3.4047010383279392,186.28
5.2,8.0,3.4047010383279392,188.12
5.25,7.5,3.4047010383279392,189.95
5.3,7.0,3.4047010383279392,191.78
5.35,6.5,3.4047010383279392,193.62
5.4,6.0,3.4047010383279392,195.45
5.45,5.5,3.4047010383279392,197.29
5.5,5.0,3.4047010383279392,199.12
5.55,4.5,3.4047010383279392,200.95
5.6,4.0,3.4047010383279392,202.79
5.65,3.5,3.4047010383279392,204.62
5.7,3.0,3.4047010383279392,206.45
5.75,2.5,3.4047010383279392,208.29
5.8,2.0,3.4047010383279392,210.12
5.85,1.5,3.4047010383279392,211.95
5.9,1.0,3.4047010383279392,213.79
5.95,0.5,3.4047010383279392,215.62
6.0,0.0,3.4047010383279392,217.45
6.05,0.0,0.0,217.45
6.1,0.0,0.0,217.45
6.15,0.0,0.0,217.45
6.2,0.0,0.0,217.45
6.25,0.0,0.0,217.45
6.3,0.0,0.0,217.45
6.35,0.0,0.0,217.45
6.4,0.0,0.0,217.45
6.45,0.0,0.0,217.45
6.5,0.0,0.0,217.45
6.55,0.0,0.0,217.45
6.6,0.0,0.0,217.45
6.65,0.0,0.0,217.45
6.7,0.0,0.0,217.45
6.75,0.0,0.0,217.45
6.8,0.0,0.0,217.45
6.85,0.0,0.0,217.45
6.9,0.0,0.0,217.45
6.95,0.0,0.0,217.45
7.0,0.0,0.0,217.45
7.05,0.0,0.0,217.45
7.1,0.0,0.0,217.45
7.15,0.0,0.0,217.45
7.2,0.0,0.0,217.45
7.25,0.0,0.0,217.45
7.3,0.0,0.0,217.45
7.35,0.0,0.0,217.45
7.4,0.0,0.0,217.45
7.45,0.0,0.0,217.45
7.5,0.0,0.0,217.45
7.55,0.0,0.0,217.45
7.6,0.0,0.0,217.45
7.65,0.0,0.0,217.45
7.7,0.0,0.0,217.45
7.75,0.0,0.0,217.45
7.8,0.0,0.0,217.45
7.85,0.0,0.0,217.45
7.9,0.0,0.0,217.45
7.95,0.0,0.0,217.45
8.0,0.0,0.0,217.45
8.05,10.0,44.53207586463533,217.45
8.1,20.0,44.53207586463533,210.46
8.15,30.0,44.53207586463533,203.47
8.2,40.0,44.53207586463533,196.48
8.25,50.0,44.53207586463533,189.49
8.3,60.0,44.53207586463533,182.5
8.35,70.0,44.53207586463533,175.5
8.4,80.0,44.53207586463533,168.51
8.45,90.0,44.53207586463533,161.52
8.5,100.0,44.53207586463533,154.53
8.55,110.0,44.53207586463533,147.54
8.6,120.0,44.53207586463533,140.55
8.65,130.0,44.53207586463533,133.55
8.7,140.0,44.53207586463533,126.56
8.75,150.0,44.53207586463533,119.57
8.8,160.0,44.53207586463533,112.58
8.85,170.0,44.53207586463533,105.59
8.9,180.0,44.53207586463533,98.59
8.95,190.0,44.53207586463533,91.6
9.0,200.0,44.53207586463533,84.61
9.05,210.0,44.53207586463533,77.62
9.1,220.0,44.53207586463533,70.63
9.15,230.0,44.53207586463533,63.64
9.2,240.0,44.53207586463533,56.64
9.25,250.0,44.53207586463533,49.65
